Plot	Block	Entry	NC Ac	Defol
1156	15	207	GP-NC 343	4
2039	11	207	GP-NC 343	4
1161	15	210	PI 576636	7
2112	14	210	PI 576636	6
1159	15	204	Emery	7
2064	8	204	Emery	7
1157	15	205	Bailey II	5
2005	9	205	Bailey II	6
1160	15	209	N14035olSmT	5
2114	13	209	N14035olSmT	5
1158	15	208	Perry	6
2175	12	208	Perry	6
1113	12	161	X14076	6
1116	12	164	X14076	6
1117	12	163	X14076	5
1119	12	167	X14076	5
1120	12	166	X14076	6
1122	12	165	X14076	6
1124	12	168	X14076	5
1125	12	162	X14076	6
1203	13	169	X14076	7
2003	9	163	X14076	6
2042	11	165	X14076	5
2069	8	162	X14076	6
2080	1	169	X14076	4
2090	7	161	X14076	5
2099	14	167	X14076	7
2119	13	166	X14076	6
2140	10	164	X14076	7
2168	15	168	X14076	7
1198	13	171	X14077	9
1201	13	172	X14077	7
1206	13	170	X14077	6
2025	3	171	X14077	7
2144	4	172	X14077	7
2195	2	170	X14077	6
1208	13	173	X14079	7
2055	5	173	X14079	5
1199	13	175	X14080	5
1200	13	174	X14080	5
1205	13	176	X14080	6
2061	8	176	X14080	6
2089	7	175	X14080	5
2202	6	174	X14080	6
1197	13	178	X14084	5
1207	13	177	X14084	7
2012	9	177	X14084	7
2137	10	178	X14084	7
1170	14	183	X14088	4
1202	13	180	X14088	6
1204	13	182	X14088	7
1209	13	181	X14088	6
1210	13	179	X14088	6
2030	11	179	X14088	5
2083	1	183	X14088	4
2104	14	181	X14088	7
2160	15	182	X14088	7
2171	12	180	X14088	6
1173	14	186	X14097	5
1174	14	188	X14097	5
1175	14	190	X14097	5
1179	14	189	X14097	5
1180	14	184	X14097	5
1181	14	187	X14097	5
1182	14	185	X14097	4
2024	3	185	X14097	3
2044	5	187	X14097	3
2060	8	190	X14097	4
2092	7	189	X14097	4
2145	4	186	X14097	6
2196	2	184	X14097	6
2199	6	188	X14097	5
1171	14	194	X14098	5
1172	14	191	X14098	4
1176	14	192	X14098	3
1177	14	195	X14098	5
1178	14	193	X14098	3
2014	9	191	X14098	5
2033	11	193	X14098	4
2113	13	195	X14098	5
2138	10	192	X14098	5
2170	12	194	X14098	5
1155	15	200	X14104	6
1162	15	199	X14104	7
1163	15	197	X14104	6
1166	15	198	X14104	7
1169	14	196	X14104	5
2017	3	199	X14104	6
2079	1	197	X14104	5
2142	4	200	X14104	6
2157	15	196	X14104	5
2183	2	198	X14104	5
1164	15	202	X14108	7
1165	15	201	X14108	7
1168	15	203	X14108	6
2046	5	201	X14108	6
2086	7	203	X14108	5
2203	6	202	X14108	6
1005	8	105	X15060	6
1006	8	101	X15060	7
1007	8	100	X15060	7
1009	8	103	X15060	5
1010	8	102	X15060	6
1011	8	104	X15060	7
2018	3	101	X15060	5
2049	5	103	X15060	6
2093	7	105	X15060	5
2146	4	102	X15060	6
2192	2	100	X15060	7
2204	6	104	X15060	8
1001	8	109	X15061	7
1003	8	107	X15061	5
1008	8	108	X15061	7
1013	8	106	X15061	7
2001	9	106	X15061	7
2036	11	108	X15061	8
2128	10	107	X15061	6
2182	12	109	X15061	6
1002	8	111	X15065	6
1004	8	110	X15065	6
1012	8	112	X15065	7
2109	14	111	X15065	7
2126	13	110	X15065	7
2159	15	112	X15065	8
1144	9	114	X15068	5
1147	9	115	X15068	5
1152	9	113	X15068	5
2028	3	115	X15068	3
2081	1	113	X15068	5
2184	2	114	X15068	5
1143	9	116	X15075	7
1145	9	117	X15075	6
2047	5	117	X15075	5
2153	4	116	X15075	6
1141	9	123	X15076	6
1146	9	121	X15076	7
1148	9	122	X15076	6
1149	9	118	X15076	7
1150	9	120	X15076	7
1151	9	124	X15076	6
1153	9	119	X15076	5
2032	11	122	X15076	6
2066	8	120	X15076	7
2091	7	119	X15076	4
2122	13	124	X15076	6
2134	10	121	X15076	6
2180	12	123	X15076	6
2209	6	118	X15076	7
1081	10	128	X15078	8
1082	10	127	X15078	8
1142	9	125	X15078	8
1154	9	126	X15078	8
2072	1	127	X15078	6
2106	14	125	X15078	6
2158	15	126	X15078	7
2188	2	128	X15078	7
1074	10	132	X15085	5
1075	10	130	X15085	4
1076	10	133	X15085	8
1078	10	129	X15085	6
1079	10	131	X15085	8
2020	3	129	X15085	6
2050	5	131	X15085	6
2085	7	133	X15085	5
2141	4	130	X15085	6
2200	6	132	X15085	7
1071	10	136	X15086	8
1073	10	134	X15086	6
1080	10	135	X15086	7
1083	10	137	X15086	7
2004	9	135	X15086	6
2029	11	136	X15086	5
2058	8	134	X15086	5
2178	12	137	X15086	6
1026	11	141	X15088	7
1072	10	138	X15088	6
1077	10	140	X15088	6
1084	10	139	X15088	6
2077	1	141	X15088	6
2102	14	139	X15088	5
2124	13	138	X15088	6
2163	15	140	X15088	7
1015	11	142	X15092	5
1016	11	143	X15092	4
1025	11	144	X15092	5
2015	3	143	X15092	4
2147	4	144	X15092	6
2189	2	142	X15092	6
1017	11	147	X15095	5
1018	11	149	X15095	6
1020	11	151	X15095	6
1022	11	148	X15095	6
1023	11	150	X15095	5
1024	11	146	X15095	4
1027	11	145	X15095	5
2013	9	149	X15095	6
2051	5	145	X15095	4
2059	8	148	X15095	5
2096	7	147	X15095	5
2132	10	150	X15095	6
2174	12	151	X15095	5
2207	6	146	X15095	5
1019	11	154	X15097	5
1021	11	152	X15097	7
1028	11	153	X15097	6
1115	12	155	X15097	5
2074	1	155	X15097	5
2108	14	153	X15097	7
2125	13	152	X15097	7
2156	15	154	X15097	6
1121	12	157	X15102	6
1123	12	156	X15102	7
1126	12	158	X15102	6
2016	3	157	X15102	6
2154	4	158	X15102	5
2191	2	156	X15102	7
1114	12	159	X15103	6
1118	12	160	X15103	6
2056	5	159	X15103	4
2208	6	160	X15103	7
1108	1	3	X16041	6
1110	1	1	X16041	7
1111	1	2	X16041	8
2022	3	2	X16041	6
2150	4	3	X16041	7
2194	2	1	X16041	7
1099	1	6	X16044	5
1100	1	7	X16044	7
1102	1	10	X16044	8
1103	1	5	X16044	8
1105	1	11	X16044	5
1106	1	4	X16044	5
1107	1	8	X16044	7
1109	1	9	X16044	7
2011	9	8	X16044	8
2031	11	10	X16044	6
2043	5	4	X16044	5
2067	8	7	X16044	7
2095	7	6	X16044	5
2133	10	9	X16044	6
2181	12	11	X16044	6
2197	6	5	X16044	6
1101	1	12	X16045	7
1104	1	14	X16045	6
1112	1	13	X16045	7
2107	14	13	X16045	7
2115	13	12	X16045	6
2161	15	14	X16045	8
1057	2	21	X16047	8
1059	2	22	X16047	7
1060	2	18	X16047	6
1061	2	15	X16047	6
1062	2	20	X16047	7
1063	2	17	X16047	7
1064	2	19	X16047	7
1065	2	25	X16047	7
1067	2	16	X16047	8
1068	2	23	X16047	8
1070	2	24	X16047	8
1167	15	206	X16047	8
2009	9	22	X16047	6
2027	3	16	X16047	7
2034	11	24	X16047	6
2054	5	18	X16047	4
2070	8	21	X16047	5
2084	1	15	X16047	4
2094	7	20	X16047	6
2131	10	206	X16047	7
2139	10	23	X16047	7
2148	4	17	X16047	8
2173	12	25	X16047	8
2198	6	19	X16047	7
1058	2	27	X16049	7
1066	2	28	X16049	8
1069	2	26	X16049	7
1085	3	30	X16049	7
1087	3	31	X16049	7
1090	3	32	X16049	8
1096	3	29	X16049	8
2053	5	32	X16049	6
2073	1	29	X16049	7
2111	14	27	X16049	7
2121	13	26	X16049	7
2143	4	31	X16049	7
2165	15	28	X16049	7
2187	2	30	X16049	7
1086	3	36	X16053	7
1091	3	33	X16053	9
1095	3	35	X16053	8
1097	3	37	X16053	9
1098	3	34	X16053	8
2008	9	36	X16053	6
2062	8	35	X16053	8
2087	7	34	X16053	7
2129	10	37	X16053	8
2205	6	33	X16053	9
1088	3	42	X16054	8
1089	3	38	X16054	6
1092	3	39	X16054	7
1093	3	40	X16054	8
1094	3	41	X16054	7
1184	4	43	X16054	8
1189	4	44	X16054	8
2038	11	38	X16054	7
2075	1	43	X16054	7
2103	14	41	X16054	7
2120	13	40	X16054	8
2164	15	42	X16054	8
2169	12	39	X16054	8
2193	2	44	X16054	8
1183	4	45	X16055	9
1191	4	47	X16055	7
1192	4	46	X16055	8
1195	4	48	X16055	7
2023	3	45	X16055	8
2048	5	46	X16055	8
2098	7	48	X16055	7
2206	6	47	X16055	8
1190	4	51	X16062	8
1194	4	49	X16062	7
1196	4	50	X16062	6
2006	9	50	X16062	6
2057	8	49	X16062	6
2135	10	51	X16062	7
1044	5	58	X16067	7
1052	5	57	X16067	6
1185	4	55	X16067	6
