NC_Accession,Identity or Parentage,Pedigree,FAG
Bailey,NC 12C*2 / N96076L,BC1F1-06-01-S-03-S-05: F09,+ +
CHAMPS,CHAMPS,,+ +
FloriGiant,FloriGiant,,+ +
Georgia Green,Georgia Green,,+ +
Georgia-06G,Georgia-06G,,+ +
Georgia-07W,Georgia-07W,,+ +
Georgia-12Y,Georgia-12Y,,+ +
Gregory,Gregory,,+ +
HTS 02-06,NC Ac 18000 / 9548-10,,+ +
N03088,NC 12C*2 / N96076L,BC1F1-06-04-S-02-S-08: F09,+ +
N04067,N96029 / N97069,F2-03-S-01-S-06: F09,+ +
N04072,N96029 / N97069,F2-03-S-03-S-03: F09,+ +
N04074,N97070 / N96029,F2-04-S-01-S-03: F09,+ +
N05006,NC-V 11 // Georgia Green / NC-V 11,BC1F01-08-02-01-01-05: F08,+ +
N05008,Georgia Green // NC-V 11 / Georgia Green,BC1F01-06-01-02-03-06: F08,+ +
N05013,N97137C / N98002,F2-01-S-02-01-01: F08,+ +
N05016,N97137C / N98002,F2-05-S-01-02-01: F08,+ +
N05024,N98002 / N97140C,F2-05-S-03-01-01: F08,+ +
N06001,N92023E / Rositza,F2-01-02-01-02-02: F09,+ +
N07018,N99133CSm / N00035J,F2-01-S-01-S-02: F09,+ +
N07019,N99133CSm / N00035J,F2-01-S-01-S-03: F09,+ +
N08034,Perry / Georgia Green,F2-06-01-01-01-02: F08,+ +
NC-V 11,NC-V 11,,+ +
PD 14001,PD 14001,,+ +
PD 14002,PD 14002,,+ +
PD 14003,PD 14003,,+ +
Perry,Perry,,+ +
Phillips,Phillips,,+ +
SPT 06-02,Georgia Green / GP-NC WS 12,,+ +
SPT 06-06,DP-1 (UF97318) // C-99R (UF94320) / GP-NC WS 12,,+ +
SPT 07-01,NC-V 11 / GP-NC WS 11,,+ +
SPT 08-02,"NC 12C /3/ HTS 02-02, NC-V 11 // NC 6 / 82 F2LS 501-2 - F1-C",,+ +
SPT 09-02,NC-V 11 / GP-NC WS 11,,+ +
SPT 10-02,Perry / GP-NC WS 11 // Brantley,,+ +
SPT 10-05,"VA 98R // 04 L SPT LAU 003, NC 12C / GP-NC WS 15",,+ +
SPT 10-09,"VA 98R // 04 L SPT LAU 003, NC 12C / GP-NC WS 15",,+ +
SPT 10-10,"Wilson // 04 L LAU 003, NC 12C x GP-NC WS 15",,+ +
SPT 13-01,SPT 06-07 / PI 598134,,+ +
SPT 13-02,SPT 07-01 / SPT 06-06,,+ +
SPT 13-03,SPT 07-01 / SPT 06-06,,+ +
