Year	Location	Name	Label	NC_Accession	Rating	Disease
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	2.5
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	2.55
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	7.17
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	7.19
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	2
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	2
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	4
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	3
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	7.01
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	6.5
2015	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	5.79
2015	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	4.71
2016	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	6
2016	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	4
2017	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	LS	8
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	5112
2010	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	4973
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	2827
2011	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	2641
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	2801
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	3719
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	3199
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	2291
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	2774
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	2685
2015	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	3373
2015	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	3589
2016	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	3310.307692
2016	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	3310.307692
2017	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey	Yield_UT	3050
2010	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.3138
2010	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.2258
2011	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.1986
2011	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.1675
2012	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.163
2012	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.1196
2013	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.2862
2013	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.1115
2014	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.0747
2014	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.1136
2015	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.2997
2015	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.2014
2016	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.0958
2016	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.1933
2017	LEW	ATP-T	Advanced Testing Program - TSWV	Bailey	TSWV	0.0915
2010	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.6225
2010	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.2778
2010	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.4407
2011	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.8095
2011	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	1
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.6028
2012	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.3742
2013	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.582
2013	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.4667
2014	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.4741
2014	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.5939
2015	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	1.0422
2015	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.8113
2016	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.8611
2016	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.4619
2017	RMT	ATP-S	Advanced Testing Program - Sclerotinia	Bailey	SB	0.628046667
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	LS	2
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	LS	3.5
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	LS	6
2015	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	LS	5.46
2016	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	LS	5
2017	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	LS	7.77
2018	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	LS	4.5
2018	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	LS	5.62
2012	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	Yield_UT	4394
2013	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	Yield_UT	3585
2014	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	Yield_UT	2949
2015	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	Yield_UT	3536
2016	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	Yield_UT	3178.5
2017	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	Yield_UT	3155
2018	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	Yield_UT	1452
2018	LEW	ATP-L	Advanced Testing Program - Leafspot	Bailey II	Yield_UT	3178.5
