Year	Location	Name	Label	NC_Accession	Plot_Yield	Yield
2014	LEW	ATP	Advanced Testing Program - Yield	ACI WT09-0761	9.0	2733
2014	RMT	ATP	Advanced Testing Program - Yield	ACI WT09-0761	10.2	3085
2014	WHI	ATP	Advanced Testing Program - Yield	ACI WT09-0761	10.2	3085
2015	LEW	ATP	Advanced Testing Program - Yield	ACI WT11-0351	15.3	4632
2015	RMT	ATP	Advanced Testing Program - Yield	ACI WT11-0351	10.7	3226
2015	LEW	ATP	Advanced Testing Program - Yield	ACI WT12-0226	13.6	4104
2015	RMT	ATP	Advanced Testing Program - Yield	ACI WT12-0226	15.1	4572
2014	LEW	ATP	Advanced Testing Program - Yield	ACI WT12-0419	6.6	1993
2014	RMT	ATP	Advanced Testing Program - Yield	ACI WT12-0419	8.1	2457
2014	WHI	ATP	Advanced Testing Program - Yield	ACI WT12-0419	8.1	2457
2015	LEW	ATP	Advanced Testing Program - Yield	ACI WT12-0420	11.3	3414
2015	RMT	ATP	Advanced Testing Program - Yield	ACI WT12-0420	16.3	4932
2014	LEW	ATP	Advanced Testing Program - Yield	ACI WT12-0433	12.2	3687
2014	RMT	ATP	Advanced Testing Program - Yield	ACI WT12-0433	11.0	3316
2014	WHI	ATP	Advanced Testing Program - Yield	ACI WT12-0433	11.0	3316
2010	LEW	ATP	Advanced Testing Program - Yield	Bailey	11.7	3529
2010	RMT	ATP	Advanced Testing Program - Yield	Bailey	6.6	2004
2010	WHI	ATP	Advanced Testing Program - Yield	Bailey	6.1	1860
2011	LEW	ATP	Advanced Testing Program - Yield	Bailey	13.6	4114
2011	RMT	ATP	Advanced Testing Program - Yield	Bailey	17.1	5159
2011	WHI	ATP	Advanced Testing Program - Yield	Bailey	11.1	3345
2012	LEW	ATP	Advanced Testing Program - Yield	Bailey	12.8	3873
2012	RMT	ATP	Advanced Testing Program - Yield	Bailey	10.9	3306
2012	WHI	ATP	Advanced Testing Program - Yield	Bailey	16.3	4927
2013	LEW	ATP	Advanced Testing Program - Yield	Bailey	12.5	3774
2013	RMT	ATP	Advanced Testing Program - Yield	Bailey	12.5	3781
2013	WHI	ATP	Advanced Testing Program - Yield	Bailey	8.0	2418
2014	LEW	ATP	Advanced Testing Program - Yield	Bailey	16.3	4926
2014	RMT	ATP	Advanced Testing Program - Yield	Bailey	12.1	3660
2014	WHI	ATP	Advanced Testing Program - Yield	Bailey	12.1	3660
2015	LEW	ATP	Advanced Testing Program - Yield	Bailey	14.4	4342
2015	RMT	ATP	Advanced Testing Program - Yield	Bailey	11.8	3582
2016	LEW	ATP	Advanced Testing Program - Yield	Bailey	8.5	2586
2016	RMT	ATP	Advanced Testing Program - Yield	Bailey	7.5	2262
2016	WHI	ATP	Advanced Testing Program - Yield	Bailey	9.9	2990
2017	LEW	ATP	Advanced Testing Program - Yield	Bailey	16.0	4841
2017	RMT	ATP	Advanced Testing Program - Yield	Bailey	14.8	4480
2017	WHI	ATP	Advanced Testing Program - Yield	Bailey	5.1	1550
2018	LEW	ATP	Advanced Testing Program - Yield	Bailey	12.9	3915
2018	RMT	ATP	Advanced Testing Program - Yield	Bailey	13.6	4104
2018	WHI	ATP	Advanced Testing Program - Yield	Bailey	12.0	3628
2012	LEW	ATP	Advanced Testing Program - Yield	Bailey II	15.0	4539
2012	RMT	ATP	Advanced Testing Program - Yield	Bailey II	12.6	3801
2012	WHI	ATP	Advanced Testing Program - Yield	Bailey II	13.4	4053
2013	LEW	ATP	Advanced Testing Program - Yield	Bailey II	16.1	4885
2013	RMT	ATP	Advanced Testing Program - Yield	Bailey II	12.0	3638
2013	WHI	ATP	Advanced Testing Program - Yield	Bailey II	10.9	3299
2014	LEW	ATP	Advanced Testing Program - Yield	Bailey II	17.8	5396
2014	RMT	ATP	Advanced Testing Program - Yield	Bailey II	10.4	3159
2014	WHI	ATP	Advanced Testing Program - Yield	Bailey II	10.4	3159
2015	LEW	ATP	Advanced Testing Program - Yield	Bailey II	14.6	4408
2015	RMT	ATP	Advanced Testing Program - Yield	Bailey II	17.4	5257
2016	LEW	ATP	Advanced Testing Program - Yield	Bailey II	8.0	2415
2016	RMT	ATP	Advanced Testing Program - Yield	Bailey II	11.4	3436
2016	WHI	ATP	Advanced Testing Program - Yield	Bailey II	9.9	3006
2017	LEW	ATP	Advanced Testing Program - Yield	Bailey II	17.4	5272
2017	RMT	ATP	Advanced Testing Program - Yield	Bailey II	16.6	5012
2017	WHI	ATP	Advanced Testing Program - Yield	Bailey II	6.7	2015
2018	LEW	ATP	Advanced Testing Program - Yield	Bailey II	15.7	4755
2018	RMT	ATP	Advanced Testing Program - Yield	Bailey II	10.3	3129
2018	WHI	ATP	Advanced Testing Program - Yield	Bailey II	18.6	5632
2010	LEW	ATP	Advanced Testing Program - Yield	Brantley	8.7	2628
2010	RMT	ATP	Advanced Testing Program - Yield	Brantley	6.1	1845
2010	WHI	ATP	Advanced Testing Program - Yield	Brantley	3.6	1089
2011	LEW	ATP	Advanced Testing Program - Yield	Brantley	4.7	1414
2011	RMT	ATP	Advanced Testing Program - Yield	Brantley	13.3	4013
2011	WHI	ATP	Advanced Testing Program - Yield	Brantley	11.0	3317
2010	LEW	ATP	Advanced Testing Program - Yield	CHAMPS	9.1	2738
2010	RMT	ATP	Advanced Testing Program - Yield	CHAMPS	6.5	1966
2010	WHI	ATP	Advanced Testing Program - Yield	CHAMPS	3.5	1051
2011	LEW	ATP	Advanced Testing Program - Yield	CHAMPS	5.3	1611
2011	RMT	ATP	Advanced Testing Program - Yield	CHAMPS	14.6	4421
2011	WHI	ATP	Advanced Testing Program - Yield	CHAMPS	9.4	2830
2012	LEW	ATP	Advanced Testing Program - Yield	CHAMPS	11.0	3322
2012	RMT	ATP	Advanced Testing Program - Yield	CHAMPS	11.9	3593
2012	WHI	ATP	Advanced Testing Program - Yield	CHAMPS	9.8	2979
2013	LEW	ATP	Advanced Testing Program - Yield	CHAMPS	11.8	3562
2013	RMT	ATP	Advanced Testing Program - Yield	CHAMPS	13.8	4175
2013	WHI	ATP	Advanced Testing Program - Yield	CHAMPS	8.6	2609
2015	LEW	ATP	Advanced Testing Program - Yield	CHAMPS	13.8	4188
2015	RMT	ATP	Advanced Testing Program - Yield	CHAMPS	12.4	3753
2010	LEW	ATP	Advanced Testing Program - Yield	Emery	11.1	3343
